feature,n_1,n_0,n_na,freq_1
motor_system,35,25,0,0.5833
pyramidal,31,29,0,0.5167
present_sensory,25,35,0,0.4167
optic_disc,22,38,0,0.3667
present_visual,20,40,0,0.3333
present_motor,19,41,0,0.3167
sensory_system,19,41,0,0.3167
sensory,18,42,0,0.3
cerebella,17,43,0,0.2833
coordination,17,43,0,0.2833
gait,17,43,0,0.2833
visual,17,43,0,0.2833
bowel_bladder,9,51,0,0.15
sphincters,9,51,0,0.15
nystagmus,7,53,0,0.1167
present_balance,7,53,0,0.1167
speech,6,54,0,0.1
brain_stem,5,55,0,0.0833
mobility,4,56,0,0.0667
mental_state,3,57,0,0.05
swallowing,3,57,0,0.05
mental,2,58,0,0.0333
ocular_move,2,58,0,0.0333
present_behavioural,1,59,0,0.0167
present_fatigue,1,59,0,0.0167
present_pain,1,59,0,0.0167
present_sexual,1,59,0,0.0167
