cluster,feature,n,n_1,freq,freq_min,freq_max,delta_freq
1,pyramidal,23,1,0.043,0.043478260869565216,1,0.957
2,pyramidal,18,13,0.722,0.043478260869565216,1,0.957
3,pyramidal,9,7,0.778,0.043478260869565216,1,0.957
4,pyramidal,10,10,1,0.043478260869565216,1,0.957
1,gait,23,2,0.087,0.08695652173913043,1,0.913
2,gait,18,5,0.278,0.08695652173913043,1,0.913
3,gait,9,9,1,0.08695652173913043,1,0.913
4,gait,10,1,0.1,0.08695652173913043,1,0.913
1,present_visual,23,3,0.13,0,0.8888888888888888,0.889
2,present_visual,18,16,0.889,0,0.8888888888888888,0.889
3,present_visual,9,0,0,0,0.8888888888888888,0.889
4,present_visual,10,1,0.1,0,0.8888888888888888,0.889
1,visual,23,2,0.087,0,0.8333333333333334,0.833
2,visual,18,15,0.833,0,0.8333333333333334,0.833
3,visual,9,0,0,0,0.8333333333333334,0.833
4,visual,10,0,0,0,0.8333333333333334,0.833
1,coordination,23,4,0.174,0,0.7777777777777778,0.778
2,coordination,18,6,0.333,0,0.7777777777777778,0.778
3,coordination,9,7,0.778,0,0.7777777777777778,0.778
4,coordination,10,0,0,0,0.7777777777777778,0.778
1,present_sensory,23,14,0.609,0.1111111111111111,0.8,0.689
2,present_sensory,18,2,0.111,0.1111111111111111,0.8,0.689
3,present_sensory,9,1,0.111,0.1111111111111111,0.8,0.689
4,present_sensory,10,8,0.8,0.1111111111111111,0.8,0.689
1,sensory,23,3,0.13,0.1111111111111111,0.8,0.689
2,sensory,18,6,0.333,0.1111111111111111,0.8,0.689
3,sensory,9,1,0.111,0.1111111111111111,0.8,0.689
4,sensory,10,8,0.8,0.1111111111111111,0.8,0.689
1,optic_disc,23,6,0.261,0.1,0.7222222222222222,0.622
2,optic_disc,18,13,0.722,0.1,0.7222222222222222,0.622
3,optic_disc,9,2,0.222,0.1,0.7222222222222222,0.622
4,optic_disc,10,1,0.1,0.1,0.7222222222222222,0.622
1,motor_system,23,7,0.304,0.30434782608695654,0.8,0.496
2,motor_system,18,13,0.722,0.30434782608695654,0.8,0.496
3,motor_system,9,7,0.778,0.30434782608695654,0.8,0.496
4,motor_system,10,8,0.8,0.30434782608695654,0.8,0.496
1,cerebella,23,2,0.087,0.08695652173913043,0.5555555555555556,0.469
2,cerebella,18,7,0.389,0.08695652173913043,0.5555555555555556,0.469
3,cerebella,9,5,0.556,0.08695652173913043,0.5555555555555556,0.469
4,cerebella,10,3,0.3,0.08695652173913043,0.5555555555555556,0.469
1,present_motor,23,6,0.261,0.2222222222222222,0.6666666666666666,0.444
2,present_motor,18,4,0.222,0.2222222222222222,0.6666666666666666,0.444
3,present_motor,9,6,0.667,0.2222222222222222,0.6666666666666666,0.444
4,present_motor,10,3,0.3,0.2222222222222222,0.6666666666666666,0.444
1,sphincters,23,0,0,0,0.4,0.4
2,sphincters,18,2,0.111,0,0.4,0.4
3,sphincters,9,3,0.333,0,0.4,0.4
4,sphincters,10,4,0.4,0,0.4,0.4
1,nystagmus,23,1,0.043,0,0.3333333333333333,0.333
2,nystagmus,18,3,0.167,0,0.3333333333333333,0.333
3,nystagmus,9,3,0.333,0,0.3333333333333333,0.333
4,nystagmus,10,0,0,0,0.3333333333333333,0.333
1,present_balance,23,2,0.087,0,0.3333333333333333,0.333
2,present_balance,18,2,0.111,0,0.3333333333333333,0.333
3,present_balance,9,3,0.333,0,0.3333333333333333,0.333
4,present_balance,10,0,0,0,0.3333333333333333,0.333
1,sensory_system,23,9,0.391,0.1111111111111111,0.391304347826087,0.28
2,sensory_system,18,7,0.389,0.1111111111111111,0.391304347826087,0.28
3,sensory_system,9,1,0.111,0.1111111111111111,0.391304347826087,0.28
4,sensory_system,10,2,0.2,0.1111111111111111,0.391304347826087,0.28
1,bowel_bladder,23,3,0.13,0.05555555555555555,0.3,0.244
2,bowel_bladder,18,1,0.056,0.05555555555555555,0.3,0.244
3,bowel_bladder,9,2,0.222,0.05555555555555555,0.3,0.244
4,bowel_bladder,10,3,0.3,0.05555555555555555,0.3,0.244
1,brain_stem,23,1,0.043,0,0.2222222222222222,0.222
2,brain_stem,18,2,0.111,0,0.2222222222222222,0.222
3,brain_stem,9,2,0.222,0,0.2222222222222222,0.222
4,brain_stem,10,0,0,0,0.2222222222222222,0.222
1,speech,23,1,0.043,0.043478260869565216,0.2222222222222222,0.179
2,speech,18,2,0.111,0.043478260869565216,0.2222222222222222,0.179
3,speech,9,2,0.222,0.043478260869565216,0.2222222222222222,0.179
4,speech,10,1,0.1,0.043478260869565216,0.2222222222222222,0.179
