feature,n_1,freq_1
motor_system,35,0.5833333333333334
pyramidal,31,0.5166666666666667
present_sensory,25,0.4166666666666667
optic_disc,22,0.36666666666666664
present_visual,20,0.3333333333333333
present_motor,19,0.31666666666666665
sensory_system,19,0.31666666666666665
sensory,18,0.3
cerebella,17,0.2833333333333333
coordination,17,0.2833333333333333
gait,17,0.2833333333333333
visual,17,0.2833333333333333
bowel_bladder,9,0.15
sphincters,9,0.15
nystagmus,7,0.11666666666666667
present_balance,7,0.11666666666666667
speech,6,0.1
brain_stem,5,0.08333333333333333
