feature,pyramidal,cerebella,brain_stem,sensory,sphincters,visual,mental,speech,motor_system,sensory_system,coordination,gait,bowel_bladder,mobility,mental_state,optic_disc,nystagmus,ocular_move,swallowing,present_motor,present_sensory,present_visual,present_balance,present_pain,present_behavioural,present_fatigue,present_sexual
pyramidal,1,0.23807773090166368,0.050279831766377805,0.4148445246835731,0.4063070132231382,0.3120915332545125,-0.006193286276785342,0.21122849288893888,0.46791204433431316,0.013144501201768112,0.016036323843117244,0.16406392854881488,0.032691368880022616,-0.1426185835876737,-0.23719473647765496,-0.025376965907858283,0.14371804197117993,0.1796053020267749,0.22189185025329014,0.15653905976651117,-0.062012439610571624,0.11791665765914455,-0.06406707895100791,-0.13460334176483388,0.1259192551993607,0.1259192551993607,0.1259192551993607
cerebella,0.23807773090166368,1,0.07806259944213188,0.07263972202822432,0.15019456637319464,0.09712722298221613,0.29533217795337774,0.036986336072765455,0.006251831859743308,-0.10998936001398701,0.5075239398084814,0.34336525307797533,0.046612106805474195,0.12850518346376877,0.025455742299950155,0.05884316234196985,0.0019202348913536168,-0.11675923314435865,0.19516069096628455,0.0490314014520183,-0.081273814176663,0.10461315619318828,0.34756251533500465,-0.08185858384622965,-0.08185858384622965,0.20705406502281617,0.20705406502281617
brain_stem,0.050279831766377805,0.07806259944213188,1,0.06579516949597691,0.21110016546037452,0.07806259944213188,-0.055989251095585425,0.10050378152592121,-0.11212238211627765,0.05401382498736258,0.07806259944213188,0.07806259944213188,0.04222003309207491,-0.08058229640253804,-0.06917144638660747,0.020855975806414705,-0.10957582335289497,-0.055989251095585425,-0.06917144638660747,-0.2052525349519778,-0.010192943828752512,0.04264014327112209,0.07826844525206783,-0.03925343359894298,-0.03925343359894298,-0.03925343359894298,-0.03925343359894298
sensory,0.4148445246835731,0.07263972202822432,0.06579516949597691,1,0.23426739368498734,0.07263972202822432,0.08104408984731078,0.14547859349066158,0.18442777839082938,0.25800942071430955,-0.08878188247894084,-0.1694926847325234,0.3361227822436774,-0.1749635530559413,-0.15018785229652767,-0.196227812235748,-0.23791547571544325,0.08104408984731078,0.18356293058464493,-0.054729271060611116,0.11065666703449764,0.07715167498104596,-0.011329308367402058,-0.08522864845907042,-0.08522864845907042,0.19886684640449767,0.19886684640449767
sphincters,0.4063070132231382,0.15019456637319464,0.21110016546037452,0.23426739368498734,1,-0.05697035276224624,0.1820178386223203,0.17114534360342343,0.260359587582133,-0.1856298899414336,-0.05697035276224624,0.3573594855086355,0.2156862745098039,0.07484811885651198,-0.09637388493048533,-0.3196360159033063,0.13812794737179585,0.1820178386223203,0.33195449253833836,0.015051072157413534,0.023669053416557544,-0.09901475429766743,-0.007269891966936624,-0.05469028176232294,-0.05469028176232294,-0.05469028176232294,-0.05469028176232294
visual,0.3120915332545125,0.09712722298221613,0.07806259944213188,0.07263972202822432,-0.05697035276224624,1,-0.11675923314435865,0.036986336072765455,0.1562957964935827,0.0490314014520183,0.015047879616963062,-0.06703146374829,-0.16055281232996665,-0.16804523991415915,-0.14424920636638422,0.4426029167461211,0.11713432837257062,0.29533217795337774,0.19516069096628455,-0.18949974074698964,-0.23131777881050236,0.5753723590625356,-0.11329385858986338,-0.08185858384622965,0.20705406502281617,0.20705406502281617,0.20705406502281617
mental,-0.006193286276785342,0.29533217795337774,-0.055989251095585425,0.08104408984731078,0.1820178386223203,-0.11675923314435865,1,-0.06189844605901729,0.15694120514358612,0.07318548535838089,0.08928647240450956,0.08928647240450956,0.1820178386223203,0.32258958354055234,-0.042601432284230495,0.05137926051582754,-0.06748575116481823,-0.034482758620689655,-0.042601432284230495,0.07318548535838089,0.03138824102871722,0.06565321642986127,-0.06748575116481823,-0.02417547385148619,-0.02417547385148619,-0.02417547385148619,-0.02417547385148619
speech,0.21122849288893888,0.036986336072765455,0.10050378152592121,0.14547859349066158,0.17114534360342343,0.036986336072765455,-0.06189844605901729,1,0.056343616981901115,0.01194290606500031,-0.08630145083645273,0.16027412298198362,0.17114534360342343,-0.08908708063747481,-0.07647191129018725,0.09222859518214328,0.051917413165116506,-0.06189844605901729,0.4333408306443945,0.25080102736500653,0.056343616981901115,2.874925156281326e-20,0.2249754570488382,-0.04339630366027463,-0.04339630366027463,0.3905667329424717,0.3905667329424717
motor_system,0.46791204433431316,0.006251831859743308,-0.11212238211627765,0.18442777839082938,0.260359587582133,0.1562957964935827,0.15694120514358612,0.056343616981901115,1,0.13929165067028065,0.081273814176663,0.1562957964935827,-0.11834526708278773,0.09035079029052513,-0.1163350101494222,-0.12861319288260692,0.30714755841697566,0.15694120514358612,0.19389168358237033,0.3573133647628938,-0.17714285714285716,0.023904572186687872,-0.2193911131549826,-0.1540415968474816,0.11002971203391541,0.11002971203391541,0.11002971203391541
sensory_system,0.013144501201768112,-0.10998936001398701,0.05401382498736258,0.25800942071430955,-0.1856298899414336,0.0490314014520183,0.07318548535838089,0.01194290606500031,0.13929165067028065,1,0.0490314014520183,-0.2690101214799923,-0.08528940889201003,0.10533190493018849,-0.15617376188860607,0.0768280520515176,-0.1357898086965665,0.07318548535838089,0.008219671678347688,0.07573812580231067,0.15140396811987028,0.12667364798453498,-0.1357898086965665,-0.08862553426927401,-0.08862553426927401,0.19124457394948605,0.19124457394948605
coordination,0.016036323843117244,0.5075239398084814,0.07806259944213188,-0.08878188247894084,-0.05697035276224624,0.015047879616963062,0.08928647240450956,-0.08630145083645273,0.081273814176663,0.0490314014520183,1,0.26128590971272225,0.046612106805474195,0.12850518346376877,0.025455742299950155,0.1355951132228001,0.11713432837257062,-0.11675923314435865,-0.14424920636638422,0.12854178218502096,-0.1562957964935827,-0.05230657809659414,0.11713432837257062,-0.08185858384622965,-0.08185858384622965,-0.08185858384622965,-0.08185858384622965
gait,0.16406392854881488,0.34336525307797533,0.07806259944213188,-0.1694926847325234,0.3573594855086355,-0.06703146374829,0.08928647240450956,0.16027412298198362,0.1562957964935827,-0.2690101214799923,0.26128590971272225,1,0.046612106805474195,-0.019770028225195194,0.025455742299950155,-0.1714126903005209,0.34756251533500465,0.08928647240450956,0.19516069096628455,0.20805216291802361,-0.30633976112742206,-0.05230657809659414,0.23234842185378762,0.20705406502281617,-0.08185858384622965,0.20705406502281617,0.20705406502281617
bowel_bladder,0.032691368880022616,0.046612106805474195,0.04222003309207491,0.3361227822436774,0.2156862745098039,-0.16055281232996665,0.1820178386223203,0.17114534360342343,-0.11834526708278773,-0.08528940889201003,0.046612106805474195,0.046612106805474195,1,-0.11227217828476796,0.11779030380392652,-0.0290578196275733,-0.007269891966936624,-0.07800764512385154,-0.09637388493048533,-0.08528940889201003,0.21302148074901792,-0.19802950859533486,-0.007269891966936624,-0.05469028176232294,-0.05469028176232294,-0.05469028176232294,-0.05469028176232294
mobility,-0.1426185835876737,0.12850518346376877,-0.08058229640253804,-0.1749635530559413,0.07484811885651198,-0.16804523991415915,0.32258958354055234,-0.08908708063747481,0.09035079029052513,0.10533190493018849,0.12850518346376877,-0.019770028225195194,-0.11227217828476796,1,0.24525573579398632,-0.06470396333157187,-0.09712858623572643,-0.049629166698546515,-0.06131393394849658,0.10533190493018849,0.045175395145262566,-0.04724555912615341,-0.09712858623572643,-0.03479445003196106,-0.03479445003196106,-0.03479445003196106,-0.03479445003196106
mental_state,-0.23719473647765496,0.025455742299950155,-0.06917144638660747,-0.15018785229652767,-0.09637388493048533,-0.14424920636638422,-0.042601432284230495,-0.07647191129018725,-0.1163350101494222,-0.15617376188860607,0.025455742299950155,0.025455742299950155,0.11779030380392652,0.24525573579398632,1,-0.015869018135671768,-0.08337470009355459,-0.042601432284230495,-0.05263157894736842,-0.15617376188860607,0.1163350101494222,-3.077914301239027e-20,-0.08337470009355459,-0.029867384554474945,-0.029867384554474945,-0.029867384554474945,-0.029867384554474945
optic_disc,-0.025376965907858283,0.05884316234196985,0.020855975806414705,-0.196227812235748,-0.3196360159033063,0.4426029167461211,0.05137926051582754,0.09222859518214328,-0.12861319288260692,0.0768280520515176,0.1355951132228001,-0.1714126903005209,-0.0290578196275733,-0.06470396333157187,-0.015869018135671768,1,-0.06105044354179749,-0.14129296641852573,-0.015869018135671768,0.0024783242597263746,-0.0818447591071135,0.34238119163116293,0.15442171013513484,-0.09905890803644958,0.17110175024477653,0.17110175024477653,0.17110175024477653
nystagmus,0.14371804197117993,0.0019202348913536168,-0.10957582335289497,-0.23791547571544325,0.13812794737179585,0.11713432837257062,-0.06748575116481823,0.051917413165116506,0.30714755841697566,-0.1357898086965665,0.11713432837257062,0.34756251533500465,-0.007269891966936624,-0.09712858623572643,-0.08337470009355459,-0.06105044354179749,1,0.22173889668440275,0.1548387287451728,0.1990343771305838,-0.30714755841697566,0.07342230982143523,-0.1320754716981132,-0.047313500366356044,-0.047313500366356044,-0.047313500366356044,-0.047313500366356044
ocular_move,0.1796053020267749,-0.11675923314435865,-0.055989251095585425,0.08104408984731078,0.1820178386223203,0.29533217795337774,-0.034482758620689655,-0.06189844605901729,0.15694120514358612,0.07318548535838089,-0.11675923314435865,0.08928647240450956,-0.07800764512385154,-0.049629166698546515,-0.042601432284230495,-0.14129296641852573,0.22173889668440275,1,-0.042601432284230495,-0.1264112928917488,-0.15694120514358612,0.2626128657194451,-0.06748575116481823,-0.02417547385148619,-0.02417547385148619,-0.02417547385148619,-0.02417547385148619
swallowing,0.22189185025329014,0.19516069096628455,-0.06917144638660747,0.18356293058464493,0.33195449253833836,0.19516069096628455,-0.042601432284230495,0.4333408306443945,0.19389168358237033,0.008219671678347688,-0.14424920636638422,0.19516069096628455,-0.09637388493048533,-0.06131393394849658,-0.05263157894736842,-0.015869018135671768,0.1548387287451728,-0.042601432284230495,1,0.17261310524530146,0.1163350101494222,0.16222142113076254,0.1548387287451728,-0.029867384554474945,-0.029867384554474945,0.567480306535024,0.567480306535024
present_motor,0.15653905976651117,0.0490314014520183,-0.2052525349519778,-0.054729271060611116,0.015051072157413534,-0.18949974074698964,0.07318548535838089,0.25080102736500653,0.3573133647628938,0.07573812580231067,0.12854178218502096,0.20805216291802361,-0.08528940889201003,0.10533190493018849,-0.15617376188860607,0.0024783242597263746,0.1990343771305838,-0.1264112928917488,0.17261310524530146,1,-0.2846394600653561,-0.25334729596906996,-0.024181746754183078,-0.08862553426927401,0.19124457394948605,0.19124457394948605,0.19124457394948605
present_sensory,-0.062012439610571624,-0.081273814176663,-0.010192943828752512,0.11065666703449764,0.023669053416557544,-0.23131777881050236,0.03138824102871722,0.056343616981901115,-0.17714285714285716,0.15140396811987028,-0.1562957964935827,-0.30633976112742206,0.21302148074901792,0.045175395145262566,0.1163350101494222,-0.0818447591071135,-0.30714755841697566,-0.15694120514358612,0.1163350101494222,-0.2846394600653561,1,-0.38247315498700596,-0.20183982410258397,-0.11002971203391541,-0.11002971203391541,0.1540415968474816,0.1540415968474816
