distance,algorithm,linkage,k,avg_silhouette,n,p_features,linkage2,min_cluster_n
jaccard,hclust,average,2,0.1902,60,18,average,2
jaccard,hclust,average,3,0.1651,60,18,average,2
jaccard,hclust,average,4,0.1454,60,18,average,2
jaccard,hclust,average,5,0.157,60,18,average,2
jaccard,hclust,average,6,0.1501,60,18,average,2
jaccard,hclust,complete,2,0.1902,60,18,complete,2
jaccard,hclust,complete,3,0.0714,60,18,complete,2
jaccard,hclust,complete,4,0.0889,60,18,complete,2
jaccard,hclust,complete,5,0.0923,60,18,complete,2
jaccard,hclust,complete,6,0.1313,60,18,complete,2
jaccard,pam,NA,2,0.0935,60,18,NA,25
jaccard,pam,NA,3,0.1265,60,18,NA,18
jaccard,pam,NA,4,0.1198,60,18,NA,11
jaccard,pam,NA,5,0.1293,60,18,NA,8
jaccard,pam,NA,6,0.15310000000000001,60,18,NA,7
simple_matching,hclust,average,2,0.296,60,18,average,1
simple_matching,hclust,average,3,0.2284,60,18,average,1
simple_matching,hclust,average,4,0.2092,60,18,average,1
simple_matching,hclust,average,5,0.2175,60,18,average,1
simple_matching,hclust,average,6,0.2069,60,18,average,1
simple_matching,hclust,complete,2,0.2394,60,18,complete,4
simple_matching,hclust,complete,3,0.2338,60,18,complete,4
simple_matching,hclust,complete,4,0.1857,60,18,complete,4
simple_matching,hclust,complete,5,0.2015,60,18,complete,4
simple_matching,hclust,complete,6,0.1991,60,18,complete,4
simple_matching,pam,NA,2,0.1897,60,18,NA,26
simple_matching,pam,NA,3,0.1851,60,18,NA,18
simple_matching,pam,NA,4,0.1909,60,18,NA,9
simple_matching,pam,NA,5,0.1382,60,18,NA,7
simple_matching,pam,NA,6,0.1469,60,18,NA,7
