feature_a,feature_b,jaccard
present_fatigue,present_sexual,1
pyramidal,motor_system,0.6097560975609756
visual,present_visual,0.5416666666666666
cerebella,coordination,0.4782608695652174
visual,optic_disc,0.4444444444444444
pyramidal,sensory,0.4411764705882353
motor_system,present_motor,0.42105263157894735
optic_disc,present_visual,0.4
pyramidal,visual,0.37142857142857144
cerebella,gait,0.36
pyramidal,cerebella,0.3333333333333333
swallowing,present_fatigue,0.3333333333333333
swallowing,present_sexual,0.3333333333333333
sensory,motor_system,0.325
sensory,sensory_system,0.32142857142857145
motor_system,sensory_system,0.3170731707317073
pyramidal,present_motor,0.3157894736842105
pyramidal,present_visual,0.3076923076923077
coordination,gait,0.3076923076923077
sphincters,gait,0.3
visual,motor_system,0.3
motor_system,gait,0.3
